tiempo,frac_inf_acum,frac_inf_act
21204,0.01,0.01
21240,0.01,0.01
21276,0.01,0.01
21312,0.01,0.01
21348,0.01,0.01
21384,0.01,0.01
21420,0.01,0.01
21456,0.01,0.01
21492,0.01,0.01
21528,0.01,0.01
21564,0.01,0.01
21600,0.01,0.01
21636,0.01,0.01
21672,0.01,0.01
21708,0.01,0.01
21744,0.01,0.01
21780,0.01,0.01
21816,0.01,0.01
21852,0.01,0.01
21888,0.01,0.01
21924,0.01,0.01
21960,0.01,0.01
21996,0.01,0.01
22032,0.01,0.01
22068,0.01,0.01
22104,0.01,0.01
22140,0.01,0.01
22176,0.01,0.01
22212,0.01,0.01
22248,0.01,0.01
22284,0.01,0.01
22320,0.01,0.01
22356,0.01,0.01
22392,0.01,0.01
22428,0.01,0.01
22464,0.01,0.01
22500,0.01,0.01
22536,0.01,0.01
22572,0.01,0.01
22608,0.01,0.01
22644,0.01,0.01
22680,0.01,0.01
22716,0.01,0.01
22752,0.01,0.01
22788,0.01,0.01
22824,0.01,0.01
22860,0.01,0.01
22896,0.01,0.01
22932,0.01,0.01
22968,0.01,0.01
23004,0.01,0.01
23040,0.01,0.01
23076,0.01,0.01
23112,0.01,0.01
23148,0.01,0.01
23184,0.01,0.01
23220,0.01,0.01
23256,0.01,0.01
23292,0.01,0.01
23328,0.01,0.01
23364,0.01,0.01
23400,0.01,0.01
23436,0.01,0.01
23472,0.01,0.01
23508,0.01,0.01
23544,0.01,0.01
23580,0.01,0.01
23616,0.01,0.01
23652,0.01,0.01
23688,0.01,0.01
23724,0.01,0.01
23760,0.01,0.01
23796,0.01,0.01
23832,0.01,0.01
23868,0.01,0.01
23904,0.01,0.01
23940,0.01,0.01
23976,0.01,0.01
24012,0.01,0.01
24048,0.01,0.01
24084,0.01,0.01
24120,0.01,0.01
24156,0.01,0.01
24192,0.01,0.01
24228,0.01,0.01
24264,0.01,0.01
24300,0.01,0.01
24336,0.01,0.01
24372,0.01,0.01
24408,0.01,0.01
24444,0.01,0.01
24480,0.01,0.01
24516,0.01,0.01
24552,0.01,0.01
24588,0.01,0.01
24624,0.01,0.01
24660,0.01,0.01
24696,0.01,0.01
24732,0.01,0.01
24768,0.01,0.01
24804,0.01,0.01
24840,0.01,0.01
24876,0.01,0.01
24912,0.01,0.01
24948,0.01,0.01
24984,0.01,0.01
25020,0.01,0.01
25056,0.01,0.01
25092,0.01,0.01
25128,0.01,0.01
25164,0.01,0.01
25200,0.01,0.01
25236,0.01,0.01
25272,0.01,0.01
25308,0.01,0.01
25344,0.01,0.01
25380,0.01,0.01
25416,0.01,0.01
25452,0.01,0.01
25488,0.01,0.01
25524,0.01,0.01
25560,0.01,0.01
25596,0.01,0.01
25632,0.01,0.01
25668,0.01,0.01
25704,0.01,0.01
25740,0.01,0.01
25776,0.01,0.01
25812,0.01,0.01
25848,0.01,0.01
25884,0.01,0.01
25920,0.01,0.01
25956,0.01,0.01
25992,0.01,0.01
26028,0.01,0.01
26064,0.01,0.01
26100,0.01,0.01
26136,0.01,0.01
26172,0.01,0.01
26208,0.01,0.01
26244,0.01,0.01
26280,0.01,0.01
26316,0.01,0.01
26352,0.01,0.01
26388,0.01,0.01
26424,0.01,0.01
26460,0.01,0.01
26496,0.01,0.01
26532,0.01,0.01
26568,0.01,0.01
26604,0.01,0.01
26640,0.01,0.01
26676,0.01,0.01
26712,0.01,0.01
26748,0.01,0.01
26784,0.01,0.01
26820,0.01,0.01
26856,0.01,0.01
26892,0.01,0.01
26928,0.01,0.01
26964,0.01,0.01
27000,0.01,0.01
27036,0.01,0.01
27072,0.01,0.01
27108,0.01,0.01
27144,0.01,0.01
27180,0.01,0.01
27216,0.01,0.01
27252,0.01,0.01
27288,0.01,0.01
27324,0.01,0.01
27360,0.01,0.01
27396,0.01,0.01
27432,0.01,0.01
27468,0.01,0.01
27504,0.01,0.01
27540,0.01,0.01
27576,0.01,0.01
27612,0.01,0.01
27648,0.01,0.01
27684,0.01,0.01
27720,0.01,0.01
27756,0.01,0.01
27792,0.01,0.01
27828,0.01,0.01
27864,0.01,0.01
27900,0.01,0.01
27936,0.01,0.01
27972,0.01,0.01
28008,0.01,0.01
28044,0.01,0.01
28080,0.01,0.01
28116,0.01,0.01
28152,0.01,0.01
28188,0.01,0.01
28224,0.01,0.01
28260,0.01,0.01
28296,0.01,0.01
28332,0.01,0.01
28368,0.01,0.01
28404,0.01,0.01
28440,0.01,0.01
28476,0.01,0.01
28512,0.01,0.01
28548,0.01,0.01
28584,0.01,0.01
28620,0.01,0.01
28656,0.01,0.01
28692,0.01,0.01
28728,0.01,0.01
28764,0.01,0.01
28800,0.01,0.01
28836,0.01,0.01
28872,0.01,0.01
28908,0.01,0.01
28944,0.01,0.01
28980,0.01,0.01
29016,0.01,0.01
29052,0.01,0.01
29088,0.01,0.01
29124,0.01,0.01
29160,0.01,0.01
29196,0.01,0.01
29232,0.01,0.01
29268,0.01,0.01
29304,0.01,0.01
29340,0.01,0.01
29376,0.01,0.01
29412,0.01,0.01
29448,0.01,0.01
29484,0.01,0.01
29520,0.01,0.01
29556,0.01,0.01
29592,0.01,0.01
29628,0.01,0.01
29664,0.01,0.01
29700,0.01,0.01
29736,0.01,0.01
29772,0.01,0.01
29808,0.01,0.01
29844,0.01,0.01
29880,0.01,0.01
29916,0.01,0.01
29952,0.01,0.01
29988,0.01,0.01
30024,0.01,0.01
30060,0.01,0.01
30096,0.01,0.01
30132,0.01,0.01
30168,0.01,0.01
30204,0.01,0.01
30240,0.01,0.01
30276,0.01,0.01
30312,0.01,0.01
30348,0.01,0.01
30384,0.01,0.01
30420,0.01,0.01
30456,0.01,0.01
30492,0.01,0.01
30528,0.01,0.01
30564,0.01,0.01
30600,0.01,0.01
30636,0.01,0.01
30672,0.01,0.01
30708,0.01,0.01
30744,0.01,0.01
30780,0.01,0.01
30816,0.01,0.01
30852,0.01,0.01
30888,0.01,0.01
30924,0.01,0.01
30960,0.01,0.01
30996,0.01,0.01
31032,0.01,0.01
31068,0.01,0.01
31104,0.01,0.01
31140,0.01,0.01
31176,0.01,0.01
31212,0.01,0.01
31248,0.01,0.01
31284,0.01,0.01
31320,0.01,0.01
31356,0.01,0.01
31392,0.01,0.01
31428,0.01,0.01
31464,0.01,0.01
31500,0.01,0.01
31536,0.01,0.01
31572,0.01,0.01
31608,0.01,0.01
31644,0.01,0.01
31680,0.01,0.01
31716,0.01,0.01
31752,0.01,0.01
31788,0.01,0.01
31824,0.01,0.01
31860,0.01,0.01
31896,0.01,0.01
31932,0.01,0.01
31968,0.01,0.01
32004,0.01,0.01
32040,0.01,0.01
32076,0.01,0.01
32112,0.01,0.01
32148,0.01,0.01
32184,0.01,0.01
32220,0.01,0.01
32256,0.01,0.01
32292,0.01,0.01
32328,0.01,0.01
32364,0.01,0.01
32400,0.01,0.01
32436,0.01,0.01
32472,0.01,0.01
32508,0.01,0.01
32544,0.01,0.01
32580,0.01,0.01
32616,0.01,0.01
32652,0.01,0.01
32688,0.01,0.01
32724,0.01,0.01
32760,0.01,0.01
32796,0.01,0.01
32832,0.01,0.01
32868,0.01,0.01
32904,0.01,0.01
32940,0.01,0.01
32976,0.01,0.01
33012,0.01,0.01
33048,0.01,0.01
33084,0.01,0.01
33120,0.01,0.01
33156,0.01,0.01
33192,0.01,0.01
33228,0.01,0.01
33264,0.01,0.01
33300,0.01,0.01
33336,0.01,0.01
33372,0.01,0.01
33408,0.01,0.01
33444,0.01,0.01
33480,0.01,0.01
33516,0.01,0.01
33552,0.01,0.01
33588,0.01,0.01
33624,0.01,0.01
33660,0.01,0.01
33696,0.01,0.01
33732,0.01,0.01
33768,0.01,0.01
33804,0.01,0.01
33840,0.01,0.01
33876,0.01,0.01
33912,0.01,0.01
33948,0.01,0.01
33984,0.01,0.01
34020,0.01,0.01
34056,0.01,0.01
34092,0.01,0.01
34128,0.01,0.01
34164,0.01,0.01
34200,0.01,0.01
34236,0.01,0.01
34272,0.01,0.01
34308,0.01,0.01
34344,0.01,0.01
34380,0.01,0.01
34416,0.01,0.01
34452,0.01,0.01
34488,0.01,0.01
34524,0.01,0.01
34560,0.01,0.01
34596,0.01,0.01
34632,0.01,0.01
34668,0.01,0.01
34704,0.01,0.01
34740,0.01,0.01
34776,0.01,0.01
34812,0.01,0.01
34848,0.01,0.01
34884,0.01,0.01
34920,0.01,0.01
34956,0.01,0.01
34992,0.01,0.01
35028,0.01,0.01
35064,0.01,0.01
35100,0.01,0.01
35136,0.01,0.01
35172,0.01,0.01
35208,0.01,0.01
35244,0.01,0.01
35280,0.01,0.01
35316,0.01,0.01
35352,0.01,0.01
35388,0.01,0.01
35424,0.01,0.01
35460,0.01,0.01
35496,0.01,0.01
35532,0.01,0.01
35568,0.01,0.01
35604,0.01,0.01
35640,0.01,0.01
35676,0.01,0.01
35712,0.01,0.01
35748,0.01,0.01
35784,0.01,0.01
35820,0.01,0.01
35856,0.01,0.01
35892,0.01,0.01
35928,0.01,0.01
35964,0.01,0.01
36000,0.01,0.01
36036,0.01,0.01
36072,0.01,0.01
36108,0.01,0.01
36144,0.01,0.01
36180,0.01,0.01
36216,0.01,0.01
36252,0.01,0.01
36288,0.01,0.01
36324,0.01,0.01
36360,0.01,0.01
36396,0.01,0.01
36432,0.01,0.01
36468,0.01,0.01
36504,0.01,0.01
36540,0.01,0.01
36576,0.01,0.01
36612,0.01,0.01
36648,0.01,0.01
36684,0.01,0.01
36720,0.01,0.01
36756,0.01,0.01
36792,0.01,0.01
36828,0.01,0.01
36864,0.01,0.01
36900,0.01,0.01
36936,0.01,0.01
36972,0.01,0.01
37008,0.01,0.01
37044,0.01,0.01
37080,0.01,0.01
37116,0.01,0.01
37152,0.01,0.01
37188,0.01,0.01
37224,0.01,0.01
37260,0.01,0.01
37296,0.01,0.01
37332,0.01,0.01
37368,0.01,0.01
37404,0.01,0.01
37440,0.01,0.01
37476,0.01,0.01
37512,0.01,0.01
37548,0.01,0.01
37584,0.01,0.01
37620,0.01,0.01
37656,0.01,0.01
37692,0.01,0.01
37728,0.01,0.01
37764,0.01,0.01
37800,0.01,0.01
37836,0.01,0.01
37872,0.01,0.01
37908,0.01,0.01
37944,0.01,0.01
37980,0.01,0.01
38016,0.01,0.01
38052,0.01,0.01
38088,0.01,0.01
38124,0.01,0.01
38160,0.01,0.01
38196,0.01,0.01
38232,0.01,0.01
38268,0.01,0.01
38304,0.01,0.01
38340,0.01,0.01
38376,0.01,0.01
38412,0.01,0.01
38448,0.01,0.01
38484,0.01,0.01
38520,0.01,0.01
38556,0.01,0.01
38592,0.01,0.01
38628,0.01,0.01
38664,0.01,0.01
38700,0.01,0.01
38736,0.01,0.01
38772,0.01,0.01
38808,0.01,0.01
38844,0.01,0.01
38880,0.01,0.01
38916,0.01,0.01
38952,0.01,0.01
38988,0.01,0.01
39024,0.01,0.01
39060,0.01,0.01
39096,0.01,0.01
39132,0.01,0.01
39168,0.01,0.01
39204,0.01,0.01
39240,0.01,0.01
39276,0.01,0.01
39312,0.01,0.01
39348,0.01,0.01
39384,0.01,0.01
39420,0.01,0.01
39456,0.01,0.01
39492,0.01,0.01
39528,0.01,0.01
39564,0.01,0.01
39600,0.01,0.01
39636,0.01,0.01
39672,0.01,0.01
39708,0.01,0.01
